,address,bathrooms,bedrooms,building_sqft,desc,garages,img_url,list_price,list_status,list_url,lot_sqft,mls_num,pool,real_comp_link,real_comp_name,real_link,real_name,stories,year_built
46,"7327 Avenue I, Houston, TX 77011",.1 Full  Bath(s),2 Bed(s),.872 Building Sqft.,"Single-Family Property, Traditional Style  in Magnolia Park Sec 02 Subdivision  in East End Revitalized (Market Area) ",,background-image:url(https://photos.harstatic.com/172950426/lr/img-1.jpeg?ts=2019-04-27T23:45:36.230);," $ 65,000   ",Under Contract - Pending,/7327-avenue-i/sale_96921899,"2,500 Lot Sqft.",MLS# 96921899,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/stephanie-guevara/agent_sguevara,Stephanie Guevara,.1 Stories,Built in 1938
47,"5116 Lelia Street, Houston, TX 77026",.1 Full  Bath(s),2 Bed(s),.676 Building Sqft.,"Single-Family Property, Other Style Style  in Gagne Homestead Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/174374957/lr/img-1.jpeg?ts=2019-06-04T18:14:48.570);," $ 60,000   ",Under Contract - Pending,/5116-lelia-street/sale_12331907,"5,000 Lot Sqft.",MLS# 12331907,No Private Pool ,/realm-real-estate-professionals---galleria/broker_RELM05,REALM Real Estate Professionals - Galleria,/sally-teichgraeber/agent_teich,Sally Teichgraeber,.1 Stories,Built in 1938
48,"7311 Hurtgen Forest Road, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),.800 Building Sqft.,"Single-Family Property, Traditional Style  in South Park Sec 01 Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/159634395/lr/img-1.jpeg?ts=2019-02-12T10:07:30.143);," $ 60,000   ",Under Contract - Pending,/7311-hurtgen-forest-road/sale_69308055,"7,315 Lot Sqft.",MLS# 69308055,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/amber-thibodeaux-paris/agent_aparis,Amber Thibodeaux-Paris,.1 Stories,Built in 1955
49,"3218 Sadler Street, Houston, TX 77093",.2 Full  Bath(s),3 Bed(s),".2,888 Building Sqft.","Single-Family Property, Traditional Style  in Greens Porter Acres Sec 01 Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/155958050/lr/img-1.jpeg?ts=2018-12-15T17:50:10.717);," $ 60,000   ",Under Contract - Pending Continue to Show,/3218-sadler-street/sale_19418080,"10,126 Lot Sqft.",MLS# 19418080,No Private Pool ,/ameristar-realtors-----------/broker_STAR01,"Ameristar, REALTORS           ",/cheryn-reynolds/agent_REYNOLDS,Cheryn Reynolds,.1 Stories,Built in 1965
50,"4403 Brinkley Street, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),".1,012 Building Sqft.","Single-Family Property, Traditional Style  in Blue Bonnet Estate Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/146892198/lr/img-1.jpeg?ts=2018-03-01T12:54:41.147);," $ 60,000   ",Under Contract - Pending,/4403-brinkley-street/sale_33895277,"9,900 Lot Sqft.",MLS# 33895277,No Private Pool ,/greenbriar-management-co-----/broker_BRIA01,Greenbriar Management Co.     ,/laurie-boswell/agent_BOSWELLL,Laurie Boswell,.1 Stories,Built in 1928
51,"6908 Larkstone Street, Houston, TX 77028",.1 Full  Bath(s),3 Bed(s),".1,248 Building Sqft.","Single-Family Property, Ranch Style  in Pelham Place Sec 01 Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/174516539/lr/img-1.jpeg?ts=2019-06-07T13:38:45.650);," $ 59,900   ",For Sale,/6908-larkstone-street/sale_33989024,"7,680 Lot Sqft.",MLS# 33989024,No Private Pool ,/pinnacle-realty-advisors/broker_PIRA01,Pinnacle Realty Advisors,/danya-jabr/agent_danya,Danya Jabr,.1 Stories,Built in 1945
52,"7425 Avenue K, Houston, TX 77011",.1 Full  Bath(s),2 Bed(s),.740 Building Sqft.,"Single-Family Property, Traditional Style  in Magnolia Park Sec 02 Subdivision  in East End Revitalized (Market Area) ",,background-image:url(https://photos.harstatic.com/171939038/lr/img-1.jpeg?ts=2019-04-02T15:13:59.887);," $ 59,900   ",Under Contract - Pending,/7425-avenue-k/sale_29671834,"4,500 Lot Sqft.",MLS# 29671834,No Private Pool ,/carlos-garcia-realty-inc/broker_GARC01,"Carlos Garcia Realty, Inc.",/rick-garcia/agent_GARCIAR,Rick Garcia,.1 Stories,Built in 1930
53,"209 W Lorino Street, Houston, TX 77037",.2 Full  Bath(s),3 Bed(s),".1,120 Building Sqft.","Single-Family Property, Other Style Style  in Lindsay C W Subdivision  in Aldine Area (Market Area) ",,background-image:url(https://photos.harstatic.com/173657102/lr/img-1.jpeg?ts=2019-05-16T05:28:36.133);," $ 59,550   ",Under Contract - Pending,/209-w-lorino-street/sale_83258819,"10,500 Lot Sqft.",MLS# 83258819,No Private Pool ,/urban-luxury-properties/broker_ULUX01,Urban Luxury Properties,/david-smith/agent_DFSMITH,David Smith,.1 Stories,Built in 2001
54,"14626 Mcnair Street, Houston, TX 77015",.1 Full  Bath(s),2 Bed(s),.676 Building Sqft.,"Single-Family Property, Traditional Style  in Houston Manor Subdivision  in North Channel (Market Area) ",,background-image:url(https://photos.harstatic.com/174985079/lr/img-1.jpeg?ts=2019-06-19T17:23:36.993);," $ 59,000   ",For Sale,/14626-mcnair-street/sale_73658710,"5,500 Lot Sqft.",MLS# 73658710,No Private Pool ,/tijerina-group-real-estate-consultants/broker_TXPS01,Tijerina Group Real Estate Consultants,/isaac-tijerina/agent_ISAACT,Isaac Tijerina,.1 Stories,Built in 1935
55,"13915 Bonnercrest Drive, Houston, TX 77083",.1 Full  Bath(s),2 Bed(s),".1,108 Building Sqft.","Single-Family Property, Traditional Style  in Keegans Wood Sec 2 Subdivision  in Alief (Market Area) ",,background-image:url(https://photos.harstatic.com/149704004/lr/img-1.jpeg?ts=2018-05-26T12:31:10.117);," $ 59,000   ",For Sale,/13915-bonnercrest-drive/sale_55605761,"5,489 Lot Sqft.",MLS# 55605761,No Private Pool ,/champions-real-estate-group/broker_CREG01,Champions Real Estate Group,/goran-mandich/agent_GMandich,Goran Mandich,.1 Stories,Built in 1983
56,"7717 Scanlock Street, Houston, TX 77012",.1 Full  Bath(s),2 Bed(s),.893 Building Sqft.,"Single-Family Property, Traditional Style  in Gloverdale Subdivision  in East End Revitalized (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/172548926/lr/img-1.jpeg?ts=2019-04-16T14:47:24.720);," $ 58,900   ",Under Contract - Pending,/7717-scanlock-street/sale_39257904,"5,000 Lot Sqft.",MLS# 39257904,No Private Pool ,/vylla-home/broker_ATPA01,Vylla Home,/henry-molenaar/agent_HLMOLEN,Henry Molenaar,.1 Stories,Built in 1948
57,"7428 Bywood Street, Houston, TX 77028",.1 Full  Bath(s),2 Bed(s),.976 Building Sqft.,"Single-Family Property, Traditional Style  in Rosewood Estates Sec 02 Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/172162191/lr/img-1.jpeg?ts=2019-04-05T03:00:26.180);," $ 58,500   ",For Sale,/7428-bywood-street/sale_90498259,"7,800 Lot Sqft.",MLS# 90498259,No Private Pool ,/gold-coast-ventures-llc/broker_FIRH01,"Gold Coast Ventures, LLC",/emmanuel-buabeng/agent_emmanuel,Emmanuel Buabeng,.1 Stories,Built in 1948
58,"7929 Sandra Street, Houston, TX 77016",.1 Full  Bath(s),2 Bed(s),.944 Building Sqft.,"Single-Family Property, Traditional Style  in Triangle Gardens Subdivision  in Northside (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/172162186/lr/img-1.jpeg?ts=2019-04-05T02:58:35.977);," $ 58,500   ",For Sale,/7929-sandra-street/sale_24640734,"7,440 Lot Sqft.",MLS# 24640734,No Private Pool ,/gold-coast-ventures-llc/broker_FIRH01,"Gold Coast Ventures, LLC",/emmanuel-buabeng/agent_emmanuel,Emmanuel Buabeng,.1 Stories,Built in 1940
59,"2919 Dragonwick Drive, Houston, TX 77045",.1 Full  Bath(s),3 Bed(s),".1,395 Building Sqft.","Single-Family Property, Other Style Style  in Almeda Plaza Sec 02 Subdivision  in Five Corners (Market Area) ",,background-image:url(https://photos.harstatic.com/174581935/lr/img-1.jpeg?ts=2019-06-09T14:24:42.763);," $ 65,000   ",Under Contract - Option Pending,/2919-dragonwick-drive/sale_97771916,"8,090 Lot Sqft.",MLS# 97771916,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/jack-sharpe/agent_jsharpe,Jack Sharpe,.1 Stories,Built in 1960
60,"8005 Ritz Street, Houston, TX 77028",.1 Full  Bath(s),2 Bed(s),".1,110 Building Sqft.","Single-Family Property, Traditional Style  in Liberty Road Manor Sec 22 U/r Subdivision  in Northeast Houston (Market Area) ",,background-image:url(https://photos.harstatic.com/174453383/lr/img-1.jpeg?ts=2019-06-06T09:07:08.357);," $ 65,000   ",For Sale,/8005-ritz-street/sale_78314899,"4,000 Lot Sqft.",MLS# 78314899,No Private Pool ,/l--and--b-real-estate-------------/broker_LBRE01,L & B Real Estate             ,/lawrence-brown/agent_BROWNLA,Lawrence Brown,.1 Stories,Built in 1940
61,"202 N Carolina Street, Houston, TX 77029",.1 Full & 1 Half Bath(s),3 Bed(s),".1,344 Building Sqft.","Single-Family Property, Traditional Style  in Clinton Park Subdivision  in Denver Harbor (Market Area) ",1 Garage(s) / Detached,background-image:url(https://photos.harstatic.com/174356699/lr/img-1.jpeg?ts=2019-06-04T11:38:30.680);," $ 65,000   ",Under Contract - Pending,/202-n-carolina-street/sale_27013027,"6,815 Lot Sqft.",MLS# 27013027,No Private Pool ,/abc-capital-group--llc/broker_ABCG01,"ABC Capital Group , LLC",/brian-clark/agent_BGCLARK,Brian Clark,.1 Stories,Built in 1958
62,"4611 Kingsbury Street, Houston, TX 77021",.1 Full  Bath(s),2 Bed(s),.904 Building Sqft.,"Single-Family Property, Traditional Style  in Southern Village Sec 02 Subdivision  in University Area (Market Area) ",,background-image:url(https://photos.harstatic.com/174342028/lr/img-1.jpeg?ts=2019-06-03T21:58:16.810);," $ 65,000   ",Under Contract - Pending,/4611-kingsbury-street/sale_29604740,"6,591 Lot Sqft.",MLS# 29604740,No Private Pool ,/bayou-vista-realty-llc/broker_BVRE01,"Bayou Vista Realty, LLC",/niveen-chabaita/agent_niveench,Niveen Chabaita,.1 Stories,Built in 1940
63,"5438 San Jose Street, Houston, TX 77020",.1 Full  Bath(s),2 Bed(s),.842 Building Sqft.,"Single-Family Property, Traditional Style  in Buena Vista Subdivision  in Denver Harbor (Market Area) ",,background-image:url(https://photos.harstatic.com/173547326/lr/img-1.jpeg?ts=2019-05-14T12:21:35.757);," $ 65,000   ",Under Contract - Pending,/5438-san-jose-street/sale_54177189,"3,950 Lot Sqft.",MLS# 54177189,No Private Pool ,/compass-re-texas-llc/broker_CMTX01,"Compass RE Texas, LLC",/holley-madden/agent_HMADDEN,Holley Madden,.1 Stories,Built in 1948
64,"7327 Avenue I, Houston, TX 77011",.1 Full  Bath(s),2 Bed(s),.872 Building Sqft.,"Single-Family Property, Traditional Style  in Magnolia Park Sec 02 Subdivision  in East End Revitalized (Market Area) ",,background-image:url(https://photos.harstatic.com/172950426/lr/img-1.jpeg?ts=2019-04-27T23:45:36.230);," $ 65,000   ",Under Contract - Pending,/7327-avenue-i/sale_96921899,"2,500 Lot Sqft.",MLS# 96921899,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/stephanie-guevara/agent_sguevara,Stephanie Guevara,.1 Stories,Built in 1938
65,"5116 Lelia Street, Houston, TX 77026",.1 Full  Bath(s),2 Bed(s),.676 Building Sqft.,"Single-Family Property, Other Style Style  in Gagne Homestead Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/174374957/lr/img-1.jpeg?ts=2019-06-04T18:14:48.570);," $ 60,000   ",Under Contract - Pending,/5116-lelia-street/sale_12331907,"5,000 Lot Sqft.",MLS# 12331907,No Private Pool ,/realm-real-estate-professionals---galleria/broker_RELM05,REALM Real Estate Professionals - Galleria,/sally-teichgraeber/agent_teich,Sally Teichgraeber,.1 Stories,Built in 1938
66,"7311 Hurtgen Forest Road, Houston, TX 77033",.1 Full  Bath(s),3 Bed(s),.800 Building Sqft.,"Single-Family Property, Traditional Style  in South Park Sec 01 Subdivision  in Medical Center South (Market Area) ",1 Garage(s) / Attached,background-image:url(https://photos.harstatic.com/159634395/lr/img-1.jpeg?ts=2019-02-12T10:07:30.143);," $ 60,000   ",Under Contract - Pending,/7311-hurtgen-forest-road/sale_69308055,"7,315 Lot Sqft.",MLS# 69308055,No Private Pool ,/keller-williams-memorial/broker_KWPT01,Keller Williams Memorial,/amber-thibodeaux-paris/agent_aparis,Amber Thibodeaux-Paris,.1 Stories,Built in 1955
67,"3218 Sadler Street, Houston, TX 77093",.2 Full  Bath(s),3 Bed(s),".2,888 Building Sqft.","Single-Family Property, Traditional Style  in Greens Porter Acres Sec 01 Subdivision  in Northside (Market Area) ",,background-image:url(https://photos.harstatic.com/155958050/lr/img-1.jpeg?ts=2018-12-15T17:50:10.717);," $ 60,000   ",Under Contract - Pending Continue to Show,/3218-sadler-street/sale_19418080,"10,126 Lot Sqft.",MLS# 19418080,No Private Pool ,/ameristar-realtors-----------/broker_STAR01,"Ameristar, REALTORS           ",/cheryn-reynolds/agent_REYNOLDS,Cheryn Reynolds,.1 Stories,Built in 1965
68,"4403 Brinkley Street, Houston, TX 77051",.1 Full  Bath(s),3 Bed(s),".1,012 Building Sqft.","Single-Family Property, Traditional Style  in Blue Bonnet Estate Subdivision  in Medical Center South (Market Area) ",,background-image:url(https://photos.harstatic.com/146892198/lr/img-1.jpeg?ts=2018-03-01T12:54:41.147);," $ 60,000   ",Under Contract - Pending,/4403-brinkley-street/sale_33895277,"9,900 Lot Sqft.",MLS# 33895277,No Private Pool ,/greenbriar-management-co-----/broker_BRIA01,Greenbriar Management Co.     ,/laurie-boswell/agent_BOSWELLL,Laurie Boswell,.1 Stories,Built in 1928
